contourpy,1.2.1,0,The GraalPy team provides binary wheels of this package for Linux.
httptools,0.6.1,0,The GraalPy team provides binary wheels of this package for Linux, Windows, and macOS.
jiter,0.5.0,0,The GraalPy team provides binary wheels of this package for Linux.
kiwisolver,1.4.5,0,The GraalPy team provides binary wheels of this package for Linux, Windows, and macOS.
numpy,1.26.4,0,The GraalPy team provides binary wheels of this package for Linux, Windows, and macOS.
oracledb,2.2.1,0,The GraalPy team provides binary wheels of this package for Linux.
psutil,5.9.8,0,The GraalPy team provides binary wheels of this package for Linux, Windows, and macOS.
pydantic-core,2.10.1,0,The GraalPy team provides binary wheels of this package for Linux.
ujson,5.10.0,0,The GraalPy team provides binary wheels of this package for Linux, Windows, and macOS.
uvloop,0.19.0,0,The GraalPy team provides binary wheels of this package for Linux.
watchfiles,0.21.0,0,The GraalPy team provides binary wheels of this package for Linux.
xxhash,3.4.1,0,The GraalPy team provides binary wheels of this package for Linux, Windows, and macOS.
